date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
00:21:49	53483/53483	---MCZ	200	added ('OK')	text/html	date:Thu,%2009%20Jan%202020%2013:39:24%20GMT	https://inovatik.com/leno-landing-page/index.html	C:/My%20Web%20Sites/applanding4/inovatik.com/leno-landing-page/index.html	(from )
00:21:49	35/35	---M--	200	added ('OK')	text/plain	date:Fri,%2001%20Nov%202019%2010:06:13%20GMT	https://inovatik.com/robots.txt		(from )
00:21:50	192348/192348	---MCZ	200	added ('OK')	text/css	date:Thu,%2009%20Jan%202020%2013:38:49%20GMT	https://inovatik.com/leno-landing-page/css/bootstrap.css	C:/My%20Web%20Sites/applanding4/inovatik.com/leno-landing-page/css/bootstrap.css	(from https://inovatik.com/leno-landing-page/index.html)
00:21:50	51609/51609	---MCZ	200	added ('OK')	text/css	date:Thu,%2009%20Jan%202020%2013:38:50%20GMT	https://inovatik.com/leno-landing-page/css/fontawesome-all.css	C:/My%20Web%20Sites/applanding4/inovatik.com/leno-landing-page/css/fontawesome-all.css	(from https://inovatik.com/leno-landing-page/index.html)
00:21:50	22256/22256	---MCZ	200	added ('OK')	text/css	date:Thu,%2009%20Jan%202020%2013:38:51%20GMT	https://inovatik.com/leno-landing-page/css/swiper.css	C:/My%20Web%20Sites/applanding4/inovatik.com/leno-landing-page/css/swiper.css	(from https://inovatik.com/leno-landing-page/index.html)
00:21:50	6951/6951	---MCZ	200	added ('OK')	text/css	date:Thu,%2009%20Jan%202020%2013:38:50%20GMT	https://inovatik.com/leno-landing-page/css/magnific-popup.css	C:/My%20Web%20Sites/applanding4/inovatik.com/leno-landing-page/css/magnific-popup.css	(from https://inovatik.com/leno-landing-page/index.html)
00:21:51	41944/41944	---MCZ	200	added ('OK')	text/css	date:Thu,%2009%20Jan%202020%2013:38:50%20GMT	https://inovatik.com/leno-landing-page/css/styles.css	C:/My%20Web%20Sites/applanding4/inovatik.com/leno-landing-page/css/styles.css	(from https://inovatik.com/leno-landing-page/index.html)
00:21:51	1417/1417	---M--	200	added ('OK')	image/png	date:Thu,%2009%20Jan%202020%2013:38:56%20GMT	https://inovatik.com/leno-landing-page/images/favicon.png	C:/My%20Web%20Sites/applanding4/inovatik.com/leno-landing-page/images/favicon.png	(from https://inovatik.com/leno-landing-page/index.html)
00:21:51	19688/19688	---MCZ	200	added ('OK')	image/svg+xml	date:Thu,%2009%20Jan%202020%2013:38:58%20GMT	https://inovatik.com/leno-landing-page/images/logo.svg	C:/My%20Web%20Sites/applanding4/inovatik.com/leno-landing-page/images/logo.svg	(from https://inovatik.com/leno-landing-page/index.html)
00:21:52	18027/18027	---MCZ	200	added ('OK')	text/html	date:Thu,%2009%20Jan%202020%2013:39:25%20GMT	https://inovatik.com/leno-landing-page/terms-conditions.html	C:/My%20Web%20Sites/applanding4/inovatik.com/leno-landing-page/terms-conditions.html	(from https://inovatik.com/leno-landing-page/index.html)
00:21:52	24854/24854	---MCZ	200	added ('OK')	text/html	date:Thu,%2009%20Jan%202020%2013:39:24%20GMT	https://inovatik.com/leno-landing-page/privacy-policy.html	C:/My%20Web%20Sites/applanding4/inovatik.com/leno-landing-page/privacy-policy.html	(from https://inovatik.com/leno-landing-page/index.html)
00:21:52	40502/40502	---M--	200	added ('OK')	image/png	date:Thu,%2009%20Jan%202020%2013:38:58%20GMT	https://inovatik.com/leno-landing-page/images/header-iphone.png	C:/My%20Web%20Sites/applanding4/inovatik.com/leno-landing-page/images/header-iphone.png	(from https://inovatik.com/leno-landing-page/index.html)
00:21:52	13944/13944	---M--	200	added ('OK')	image/jpeg	date:Thu,%2009%20Jan%202020%2013:39:04%20GMT	https://inovatik.com/leno-landing-page/images/testimonial-1.jpg	C:/My%20Web%20Sites/applanding4/inovatik.com/leno-landing-page/images/testimonial-1.jpg	(from https://inovatik.com/leno-landing-page/index.html)
00:21:53	13164/13164	---M--	200	added ('OK')	image/jpeg	date:Thu,%2009%20Jan%202020%2013:39:04%20GMT	https://inovatik.com/leno-landing-page/images/testimonial-2.jpg	C:/My%20Web%20Sites/applanding4/inovatik.com/leno-landing-page/images/testimonial-2.jpg	(from https://inovatik.com/leno-landing-page/index.html)
00:21:54	11737/11737	---M--	200	added ('OK')	image/jpeg	date:Thu,%2009%20Jan%202020%2013:39:04%20GMT	https://inovatik.com/leno-landing-page/images/testimonial-3.jpg	C:/My%20Web%20Sites/applanding4/inovatik.com/leno-landing-page/images/testimonial-3.jpg	(from https://inovatik.com/leno-landing-page/index.html)
